With 3:1 7:1 11:1 26:1 123:1 1455:1 6635:1
regard 24:1 113:1 116:1 124:1 1456:1 6633:1
to 25:1 68:1 111:1 114:1 173:1 6634:1
the 66:1 112:1 115:1 152:1 171:1 560:1
above 17:1 67:1 150:1 172:1 558:1 677:1
ProMED-mail 10:1 11:1 15:1 26:1 151:1 559:1 675:1
listing 2:1 16:1 24:1 44:1 676:1
, 9:1 25:1 42:1 848:1 2972:1
I 11:1 43:1 846:1 1007:1 1010:1 2970:1
would 611:1 847:1 1005:1 1008:1 2971:1 5168:1
like 113:1 116:1 609:1 1006:1 1009:1 5166:1
to 111:1 114:1 610:1 611:1 5167:1 8564:1
correct 50:1 112:1 115:1 609:1 2609:1 8562:1
one 10:1 26:1 48:1 610:1 2607:1 8563:1
inaccuracy 2:1 24:1 49:1 62:1 2608:1
. 4:1 8:1 9:1 25:1 60:1
We 3:1 7:1 11:1 668:1 671:1 843:1 846:1
have 10:1 572:1 666:1 669:1 844:1 847:1
NOT 2:1 11:1 140:1 570:1 667:1 670:1 3614:1
advised 9:1 104:1 138:1 571:1 1049:1 3612:1
people 102:1 113:1 116:1 139:1 1047:1 3613:1
to 10:1 103:1 111:1 114:1 611:1 1048:1
boil 2:1 26:1 112:1 115:1 609:1 2585:1
water 9:1 24:1 125:1 610:1 1163:1 2583:1
throughout 25:1 68:1 123:1 173:1 1161:1 2584:1
the 26:1 66:1 124:1 171:1 1162:1 2054:1
region 24:1 62:1 67:1 172:1 2052:1
. 4:1 8:1 25:1 60:1 2053:1
In 3:1 7:1 11:1 68:1 123:1 287:1 1182:1
a 66:1 124:1 152:1 285:1 590:1 1183:1
recent 67:1 150:1 286:1 491:1 588:1 17855:1
smaller 26:1 151:1 489:1 589:1 722:1 17853:1
outbreak 24:1 125:1 236:1 490:1 720:1 17854:1
in 10:1 17:1 25:1 123:1 234:1 721:1
Clitheroe 2:1 11:1 15:1 44:1 124:1 235:1
, 9:1 16:1 17:1 42:1 3335:1
Lancashire 11:1 15:1 43:1 44:1 3333:1
, 16:1 17:1 42:1 1154:1 3334:1
UK 11:1 15:1 43:1 1061:1 1152:1 13076:1
earlier 16:1 68:1 650:1 1059:1 1153:1 13074:1
this 26:1 66:1 648:1 1060:1 1166:1 13075:1
year 24:1 67:1 649:1 848:1 896:1 1164:1
we 25:1 110:1 846:1 894:1 1165:1 3614:1
advised 68:1 108:1 847:1 895:1 2909:1 3612:1
some 50:1 66:1 109:1 245:1 2907:1 3613:1
15 48:1 50:1 67:1 243:1 2908:1 9752:1
000 48:1 49:1 104:1 244:1 1049:1 9750:1
people 49:1 102:1 113:1 116:1 1047:1 9751:1
to 10:1 103:1 111:1 114:1 611:1 1048:1
boil 2:1 26:1 112:1 115:1 609:1 2585:1
water 9:1 24:1 62:1 610:1 2583:1
. 4:1 8:1 25:1 60:1 2584:1
This 3:1 7:1 11:1 66:1 110:1 275:1 2139:1
