0 3:1 7:1 11:1 63:1 66:1 152:1 14555:1
0 64:1 67:1 89:1 150:1 14553:1
0 10:1 87:1 151:1 611:1 14554:1
0 2:1 10:1 88:1 152:1 609:1
0 2:1 9:1 95:1 150:1 610:1
0 9:1 26:1 93:1 151:1 11120:1
0 24:1 26:1 94:1 11118:1 21281:1
0 17:1 24:1 25:1 2636:1 11119:1 21279:1
0 11:1 15:1 25:1 125:1 161:1 2634:1 21280:1
0 16:1 17:1 123:1 159:1 2635:1 10505:1
0 11:1 15:1 17:1 124:1 160:1 2654:1 10503:1
0 10:1 11:1 15:1 16:1 104:1 2652:1 10504:1
0 2:1 11:1 16:1 102:1 131:1 134:1 2653:1
0 9:1 10:1 17:1 103:1 129:1 132:1
0 2:1 11:1 15:1 83:1 130:1 133:1 293:1
0 9:1 16:1 81:1 107:1 140:1 291:1
0 50:1 82:1 105:1 138:1 292:1 416:1
0 48:1 104:1 106:1 139:1 191:1 414:1
0 49:1 102:1 125:1 161:1 189:1 415:1
0 26:1 103:1 123:1 159:1 190:1 16808:1
0 24:1 124:1 125:1 160:1 236:1 16806:1
0 10:1 17:1 25:1 123:1 234:1 16807:1
0 2:1 11:1 15:1 62:1 124:1 235:1
0 4:1 8:1 9:1 16:1 60:1
0 3:1 7:1 11:1 26:1 63:1 66:1 77:1
0 24:1 64:1 67:1 75:1 1010:1 1082:1
0 25:1 76:1 611:1 734:1 1008:1 1080:1
0 140:1 609:1 732:1 1009:1 1081:1 2216:1
0 125:1 138:1 485:1 610:1 733:1 2214:1
0 123:1 139:1 483:1 488:1 491:1 2215:1
0 10:1 26:1 124:1 484:1 486:1 489:1
0 2:1 24:1 487:1 490:1 491:1 497:1
0 9:1 25:1 62:1 489:1 495:1
0 4:1 8:1 60:1 490:1 496:1
0 3:1 7:1 11:1 83:1 293:1 1362:1 3147:1
0 81:1 140:1 291:1 296:1 1363:1 3148:1
0 68:1 82:1 138:1 292:1 294:1 2834:1
0 26:1 66:1 139:1 295:1 1607:1 2832:1
0 24:1 67:1 125:1 161:1 1605:1 2833:1
0 25:1 26:1 123:1 159:1 1606:1 16808:1
0 24:1 124:1 125:1 160:1 206:1 16806:1
0 25:1 68:1 123:1 204:1 2027:1 16807:1
0 66:1 124:1 152:1 205:1 2025:1 13313:1
0 26:1 67:1 150:1 2026:1 2375:1 13311:1
0 24:1 62:1 151:1 2373:1 13312:1
0 4:1 8:1 25:1 60:1 2374:1
