Note 3:1 7:1 11:1 125:1 609:1 642:1 770:1
on 26:1 123:1 610:1 643:1 768:1 8798:1
suspicion 24:1 124:1 125:1 161:1 769:1 8796:1
of 25:1 68:1 123:1 159:1 287:1 8797:1
a 26:1 66:1 124:1 160:1 285:1 16067:1
milk 10:1 24:1 26:1 67:1 286:1 16065:1
replacement 2:1 24:1 25:1 125:1 158:1 16066:1
as 9:1 25:1 123:1 152:1 156:1 2687:1
possible 26:1 124:1 150:1 157:1 2375:1 2685:1
source 24:1 125:1 151:1 161:1 2373:1 2686:1
of 17:1 25:1 123:1 159:1 2374:1 6710:1
BSE 11:1 15:1 44:1 124:1 160:1 6708:1
, 16:1 17:1 42:1 3290:1 6709:1
Denmark 11:1 15:1 43:1 50:1 3288:1 18125:1
-------------------------------------------------------------------------- 16:1 48:1 62:1 3289:1 18123:1
. 4:1 8:1 49:1 60:1 18124:1
Milk 2:1 3:1 7:1 10:1 11:1 24:1 104:1
replacements 2:1 9:1 25:1 32:1 102:1
: 9:1 30:1 65:1 68:1 103:1
The 11:1 26:1 31:1 63:1 66:1 1733:1
Plant 11:1 17:1 24:1 64:1 67:1 1731:1 14693:1
Directorate 10:1 11:1 15:1 25:1 83:1 1732:1 14691:1
investigates 2:1 16:1 81:1 152:1 2687:1 14692:1
possible 9:1 82:1 104:1 150:1 2685:1 6245:1
sources 102:1 125:1 151:1 161:1 2686:1 6243:1
of 103:1 104:1 123:1 159:1 233:1 6244:1
infections 102:1 124:1 125:1 160:1 206:1 231:1
from 26:1 103:1 123:1 204:1 232:1 9344:1
feed 24:1 124:1 125:1 205:1 236:1 9342:1
in 25:1 68:1 123:1 234:1 413:1 9343:1
all 26:1 66:1 124:1 235:1 411:1 6710:1
BSE 11:1 24:1 67:1 152:1 412:1 4649:1 6708:1
positive 25:1 104:1 150:1 191:1 4647:1 6709:1
cases 102:1 125:1 151:1 189:1 236:1 4648:1
in 17:1 103:1 123:1 190:1 234:1 3290:1
Denmark 11:1 15:1 124:1 131:1 134:1 235:1 3288:1
and 16:1 83:1 129:1 132:1 293:1 3289:1
has 81:1 130:1 133:1 291:1 572:1 1328:1
so 82:1 292:1 570:1 572:1 1326:1 1331:1
far 140:1 570:1 571:1 1327:1 1329:1 10022:1
finished 138:1 140:1 571:1 1330:1 10020:1 17213:1
detailed 104:1 138:1 139:1 6392:1 10021:1 17211:1
reports 102:1 125:1 139:1 770:1 6390:1 17212:1
on 68:1 103:1 123:1 173:1 768:1 6391:1
the 66:1 124:1 152:1 171:1 512:1 769:1
first 50:1 67:1 150:1 172:1 185:1 510:1
