ALBANY 2:1 3:1 7:1 11:1 15:1 44:1
, 9:1 16:1 17:1 42:1 20780:1
N.Y. 11:1 15:1 32:1 43:1 635:1 20778:1
- 16:1 17:1 30:1 209:1 633:1 20779:1
New 11:1 15:1 17:1 31:1 207:1 212:1 634:1
York 11:1 15:1 16:1 208:1 210:1 1010:1 1355:1
will 16:1 211:1 572:1 1008:1 1353:1 2834:1
no 570:1 572:1 1009:1 1354:1 2832:1 2867:1
longer 570:1 571:1 611:1 2833:1 2865:1 6842:1
import 104:1 571:1 609:1 2866:1 6840:1 9464:1
deer 102:1 131:1 134:1 610:1 6841:1 9462:1
and 26:1 103:1 129:1 132:1 9463:1 9476:1
elk 24:1 125:1 130:1 133:1 158:1 9474:1
as 25:1 68:1 123:1 156:1 287:1 9475:1
a 66:1 124:1 152:1 157:1 285:1 5501:1
precautionary 10:1 26:1 67:1 150:1 286:1 5499:1
step 2:1 24:1 113:1 116:1 151:1 5500:1
to 9:1 25:1 111:1 114:1 611:1 6503:1
prevent 68:1 112:1 115:1 173:1 609:1 6501:1
the 26:1 66:1 171:1 610:1 6502:1 12311:1
introduction 24:1 67:1 125:1 161:1 172:1 12309:1
of 25:1 123:1 152:1 159:1 12310:1 13187:1
chronic 74:1 124:1 150:1 160:1 13185:1 13190:1
wasting 26:1 72:1 151:1 743:1 13186:1 13188:1
disease 24:1 73:1 89:1 741:1 13189:1
-LRB- 25:1 26:1 87:1 742:1 13193:1
CWD 11:1 24:1 88:1 95:1 13191:1
-RRB- 25:1 93:1 125:1 236:1 13192:1
in 94:1 104:1 123:1 234:1 410:1
animals 44:1 102:1 124:1 235:1 408:1
, 26:1 42:1 103:1 409:1 518:1
state 24:1 43:1 152:1 516:1 1835:1
environmental 25:1 131:1 134:1 150:1 517:1 1833:1
and 129:1 132:1 151:1 152:1 1834:1 9137:1
agricultural 10:1 104:1 130:1 133:1 150:1 9135:1
regulators 2:1 102:1 110:1 151:1 890:1 9136:1
said 9:1 17:1 103:1 108:1 888:1 2432:1
Friday 11:1 15:1 62:1 109:1 889:1 2430:1
. 4:1 8:1 16:1 60:1 2431:1
The 3:1 7:1 11:1 63:1 66:1 152:1 4067:1
new 64:1 67:1 104:1 150:1 4065:1 11492:1
regulations 102:1 151:1 671:1 3596:1 4066:1 11490:1
take 26:1 103:1 669:1 3594:1 7043:1 11491:1
effect 24:1 572:1 670:1 3595:1 5312:1 7041:1
immediately 25:1 62:1 570:1 5310:1 7042:1
. 4:1 8:1 60:1 571:1 5311:1
`` 3:1 7:1 125:1 797:1 840:1
By 11:1 74:1 123:1 795:1 841:1 12005:1
banning 68:1 72:1 124:1 173:1 796:1 12003:1
the 26:1 66:1 73:1 171:1 6842:1 12004:1
import 24:1 67:1 125:1 161:1 172:1 6840:1
of 25:1 104:1 123:1 159:1 6841:1 9464:1
deer 102:1 124:1 131:1 134:1 160:1 9462:1
and 26:1 103:1 129:1 132:1 9463:1 9476:1
elk 24:1 125:1 130:1 133:1 959:1 9474:1
into 25:1 68:1 123:1 173:1 957:1 9475:1
the 26:1 66:1 124:1 171:1 518:1 958:1
state 24:1 44:1 67:1 172:1 516:1
, 25:1 42:1 517:1 848:1 896:1
we 43:1 846:1 894:1 1010:1 1082:1
can 611:1 847:1 895:1 1008:1 1080:1 5549:1
reduce 68:1 173:1 609:1 1009:1 1081:1 5547:1
the 26:1 66:1 171:1 610:1 3383:1 5548:1
risk 24:1 67:1 125:1 161:1 172:1 3381:1
of 25:1 68:1 123:1 159:1 173:1 3382:1
the 66:1 124:1 152:1 160:1 171:1 13187:1
chronic 67:1 74:1 150:1 172:1 13185:1 13190:1
wasting 26:1 72:1 151:1 743:1 13186:1 13188:1
disease 24:1 73:1 74:1 741:1 13189:1 17273:1
entering 17:1 25:1 72:1 209:1 742:1 17271:1
New 11:1 15:1 17:1 73:1 207:1 212:1 17272:1
York 11:1 15:1 16:1 131:1 134:1 208:1 210:1
and 16:1 129:1 132:1 211:1 611:1 3578:1
help 113:1 116:1 130:1 133:1 609:1 3576:1
to 111:1 114:1 610:1 611:1 3577:1 6503:1
prevent 112:1 115:1 609:1 911:1 914:1 6501:1
our 152:1 610:1 909:1 912:1 6502:1 16592:1
abundant 150:1 152:1 910:1 913:1 3404:1 16590:1
wild 104:1 150:1 151:1 3402:1 9464:1 16591:1
deer 102:1 104:1 151:1 3403:1 9462:1 9524:1
herds 102:1 103:1 125:1 206:1 9463:1 9522:1
from 74:1 103:1 123:1 204:1 1367:1 9523:1
being 72:1 124:1 140:1 205:1 1365:1 3857:1
exposed 73:1 113:1 116:1 138:1 1366:1 3855:1
to 68:1 111:1 114:1 139:1 650:1 3856:1
this 66:1 112:1 115:1 152:1 648:1 11165:1
deadly 26:1 67:1 150:1 649:1 743:1 11163:1
disease 24:1 44:1 151:1 741:1 11164:1
, 25:1 42:1 742:1 875:1
'' 43:1 110:1 873:1 890:1
said 10:1 17:1 108:1 874:1 888:1
Erin 2:1 10:1 11:1 15:1 17:1 109:1 889:1
Crotty 2:1 9:1 11:1 15:1 16:1 44:1
, 9:1 10:1 16:1 26:1 42:1
commissioner 2:1 24:1 43:1 125:1 161:1
of 9:1 25:1 68:1 123:1 159:1 173:1
the 26:1 66:1 124:1 160:1 171:1 518:1
state 17:1 24:1 67:1 172:1 516:1 1589:1
Department 11:1 15:1 25:1 125:1 161:1 517:1 1587:1
of 16:1 17:1 123:1 159:1 1588:1 11168:1
Environmental 11:1 15:1 17:1 124:1 160:1 3875:1 11166:1
Conservation 11:1 15:1 16:1 62:1 3873:1 11167:1
. 4:1 8:1 16:1 60:1 3874:1
More 3:1 7:1 11:1 125:1 489:1 2477:1 7317:1
than 50:1 123:1 490:1 2475:1 7318:1 10841:1
400 10:1 48:1 104:1 124:1 2476:1 10839:1
entities 2:1 49:1 102:1 125:1 236:1 10840:1
in 9:1 68:1 103:1 123:1 173:1 234:1
the 26:1 66:1 124:1 171:1 235:1 518:1
state 24:1 26:1 67:1 172:1 516:1 21587:1
raise 24:1 25:1 517:1 572:1 13301:1 21585:1
nearly 25:1 50:1 305:1 570:1 13299:1 21586:1
10 48:1 50:1 303:1 571:1 9752:1 13300:1
000 48:1 49:1 104:1 304:1 9464:1 9750:1
deer 49:1 102:1 131:1 134:1 9462:1 9751:1
and 26:1 103:1 129:1 132:1 9463:1 9476:1
elk 24:1 125:1 130:1 133:1 236:1 9474:1
in 10:1 25:1 26:1 123:1 234:1 9475:1
captivity 2:1 24:1 124:1 131:1 134:1 235:1
and 9:1 25:1 129:1 132:1 572:1 3590:1
routinely 26:1 130:1 133:1 570:1 3588:1 6842:1
import 10:1 24:1 152:1 571:1 3589:1 6840:1
captive-bred 2:1 25:1 104:1 150:1 6841:1 9464:1
deer 9:1 102:1 131:1 134:1 151:1 9462:1
and 26:1 103:1 129:1 132:1 9463:1 9476:1
elk 24:1 125:1 130:1 133:1 206:1 9474:1
from 25:1 123:1 149:1 152:1 204:1 9475:1
other 104:1 124:1 146:1 147:1 150:1 205:1
states 62:1 102:1 144:1 148:1 151:1
. 4:1 8:1 60:1 103:1 145:1
Chronic 3:1 7:1 11:1 74:1 150:1 13190:1 23109:1
wasting 26:1 72:1 151:1 743:1 13188:1 23110:1
disease 24:1 73:1 83:1 479:1 741:1 13189:1
is 25:1 81:1 140:1 477:1 742:1 20033:1
characterized 82:1 125:1 138:1 143:1 478:1 20031:1
by 26:1 123:1 139:1 141:1 12191:1 20032:1
weight 24:1 26:1 124:1 142:1 8735:1 12189:1
loss 24:1 25:1 125:1 236:1 8733:1 12190:1
in 25:1 104:1 123:1 234:1 410:1 8734:1
animals 102:1 124:1 131:1 134:1 235:1 408:1
and 83:1 103:1 129:1 132:1 409:1 479:1
is 81:1 130:1 133:1 477:1 572:1 2840:1
always 82:1 152:1 478:1 570:1 1319:1 2838:1
fatal 62:1 150:1 571:1 1317:1 2839:1
. 4:1 8:1 60:1 151:1 1318:1
The 3:1 7:1 11:1 26:1 63:1 66:1 743:1
disease 24:1 64:1 67:1 83:1 293:1 741:1
has 25:1 81:1 140:1 291:1 296:1 742:1
been 82:1 138:1 140:1 292:1 294:1 1397:1
diagnosed 125:1 138:1 139:1 236:1 295:1 1395:1
in 123:1 139:1 152:1 234:1 1396:1 9536:1
captive 104:1 124:1 150:1 235:1 812:1 9534:1
members 102:1 125:1 151:1 161:1 810:1 9535:1
of 68:1 103:1 123:1 159:1 173:1 811:1
the 66:1 104:1 124:1 160:1 171:1 9464:1
deer 26:1 67:1 102:1 172:1 3245:1 9462:1
family 24:1 103:1 125:1 236:1 3243:1 9463:1
in 17:1 25:1 123:1 234:1 3244:1 9548:1
Colorado 11:1 15:1 44:1 124:1 235:1 9546:1
, 16:1 17:1 42:1 9547:1 9554:1
Wyoming 11:1 15:1 43:1 44:1 9552:1
, 16:1 17:1 42:1 9458:1 9553:1
Nebraska 11:1 15:1 43:1 44:1 9456:1
, 10:1 16:1 17:1 42:1 9457:1
Montana 2:1 11:1 15:1 43:1 44:1
, 9:1 10:1 16:1 17:1 42:1
