------------------------------------	CD
.	.
A	DT
potentially	RB
fatal	JJ
black	JJ
mold	NN
has	VBZ
forced	VBN
at	B-VIC
least	I-VIC
19	I-VIC
families	I-VIC
in	IN
usually	RB
dry	JJ
West	NNP
Texas	NNP
to	TO
evacuate	VB
their	PRP$
homes	NNS
and	CC
move	VB
into	IN
hotel	NN
rooms	NNS
.	.
The	DT
mold	NN
's	POS
potential	JJ
health	NN
effects	NNS
range	VBP
from	IN
cold	JJ
-	:
and	CC
allergic-type	JJ
symptoms	NNS
to	TO
skin	NN
rashes	NNS
,	,
inflammation	NN
of	IN
the	DT
respiratory	JJ
tract	NN
,	,
bloody	JJ
noses	NNS
,	,
fever	NN
,	,
headaches	NNS
,	,
malaise	NN
,	,
neurological	JJ
problems	NNS
,	,
and	CC
suppression	NN
of	IN
the	DT
immune	JJ
system	NN
.	.
A	DT
particularly	RB
rainy	JJ
year	NN
has	VBZ
caused	VBN
stachybotrys	NNS
outbreaks	NNS
in	IN
some	DT
of	IN
the	DT
southern	JJ
United	NNP
States	NNPS
.	.
Stachybotrys	NNP
mold	NN
is	VBZ
not	RB
rare	JJ
,	,
according	VBG
to	TO
the	DT
Centers	NNPS
for	IN
Disease	NNP
Control	NNP
and	CC
Prevention	NNP
-LRB-	-LRB-
CDC	NNP
-RRB-	-RRB-
in	IN
Atlanta	NNP
,	,
but	CC
CDC	NNP
has	VBZ
no	DT
accurate	JJ
information	NN
on	IN
how	WRB
often	RB
it	PRP
is	VBZ
found	VBN
in	IN
homes	NNS
and	CC
other	JJ
buildings	NNS
.	.
Molds	NNS
of	IN
any	DT
type	NN
,	,
including	VBG
stachybotrys	NNS
,	,
simply	RB
need	VB
moisture	NN
and	CC
something	NN
such	JJ
as	IN
wood	NN
or	CC
paper	NN
to	TO
grow	VB
on	IN
,	,
said	VBD
Dr	NNP
David	NNP
Straus	NNP
,	,
a	DT
microbiologist	NN
at	IN
Texas	NNP
Tech	NNP
University	NNP
Health	NNP
Sciences	NNPS
Center	NNP
and	CC
an	DT
expert	NN
on	IN
indoor	JJ
air	NN
pollution	NN
caused	VBN
by	IN
molds	NNS
.	.
Stachybotrys	NNP
cases	NNS
are	VBP
not	RB
increasing	VBG
,	,
he	PRP
said	VBD
,	,
but	CC
local	JJ
media	NNS
reports	NNS
have	VBP
heightened	VBN
awareness	NN
of	IN
the	DT
problem	NN
.	.
Above	IN
normal	JJ
rainfall	NNS
in	IN
many	JJ
parts	NNS
of	IN
West	NNP
Texas	NNP
in	IN
recent	JJ
months	NNS
,	,
on	IN
top	NN
of	IN
heavy	JJ
snowfall	NN
last	JJ
winter	NN
,	,
could	MD
have	VB
raised	VBN
the	DT
region	NN
's	POS
water	NN
table	NN
,	,
Straus	NNP
said	VBD
.	.
To	TO
rid	VB
a	DT
home	NN
of	IN
the	DT
mold	NN
,	,
the	DT
source	NN
of	IN
the	DT
moisture	NN
first	RB
must	MD
be	VB
eliminated	VBN
.	.
Then	RB
the	DT
mold	NN
must	MD
be	VB
removed	VBN
using	VBG
a	DT
bleach-like	JJ
solution	NN
,	,
and	CC
all	PDT
the	DT
damaged	JJ
materials	NNS
--	:
sometimes	RB
including	VBG
walls	NNS
,	,
ceilings	NNS
,	,
and	CC
carpets	NNS
--	:
must	MD
be	VB
torn	VBN
out	RB
and	CC
replaced	VBN
.	.
ProMED-mail	NNP
<promed@promedmail.org>	NN
-LSB-	-LRB-
Stachybotrys	NNS
is	VBZ
a	DT
very	RB
serious	JJ
health	NN
threat	NN
.	.
Most	JJS
often	RB
this	DT
mold	NN
is	VBZ
associated	VBN
with	IN
wet	JJ
areas	NNS
,	,
such	JJ
as	IN
homes	NNS
after	IN
flooding	NN
.	.
It	PRP
has	VBZ
been	VBN
found	VBN
on	IN
hay	NN
,	,
which	WDT
if	IN
fed	VBN
to	TO
animals	NNS
has	VBZ
caused	VBN
death	NN
of	IN
the	DT
animals	NNS
.	.
-	:
Mod.TG	NN
-RSB-	-RRB-
...	:
jw/tg/pg	NN
/	:
sh	NN
