O 3:1 7:1 11:1 671:1 843:1 846:1 17174:1 We
O 125:1 206:1 669:1 844:1 847:1 17172:1 hear
O 68:1 123:1 204:1 287:1 670:1 17173:1 from
O 66:1 124:1 152:1 205:1 285:1 6242:1 a
O 26:1 67:1 150:1 286:1 2375:1 6240:1 reliable
O 24:1 125:1 151:1 515:1 2373:1 6241:1 source
O 25:1 123:1 513:1 1361:1 1364:1 2374:1 that
O 83:1 124:1 479:1 514:1 1359:1 1362:1 there
O 68:1 81:1 477:1 1022:1 1360:1 1363:1 is
O 26:1 66:1 82:1 478:1 722:1 1020:1 an
O 24:1 67:1 125:1 236:1 720:1 1021:1 outbreak
O 25:1 68:1 123:1 173:1 234:1 721:1 in
O 66:1 124:1 152:1 171:1 235:1 4910:1 the
O 11:1 26:1 67:1 150:1 172:1 2567:1 4908:1 Democratic
O 11:1 24:1 125:1 151:1 161:1 2565:1 4909:1 Republic
O 25:1 68:1 123:1 159:1 173:1 2566:1 of
O 17:1 66:1 124:1 160:1 171:1 4817:1 the
O 11:1 15:1 67:1 125:1 172:1 398:1 4815:1 Congo
O 16:1 104:1 123:1 396:1 1121:1 4816:1 with
O 102:1 124:1 125:1 161:1 397:1 1119:1 hundreds
O 103:1 104:1 123:1 159:1 191:1 1120:1 of
O 102:1 124:1 131:1 134:1 160:1 189:1 cases
O 68:1 103:1 129:1 132:1 190:1 287:1 and
O 66:1 130:1 133:1 152:1 285:1 8492:1 a
O 67:1 104:1 150:1 286:1 551:1 8490:1 few
O 102:1 125:1 151:1 161:1 549:1 8491:1 deaths
O 103:1 123:1 159:1 550:1 725:1 728:1 of
O 83:1 124:1 160:1 479:1 723:1 726:1 what
O 81:1 140:1 477:1 724:1 727:1 731:1 is
O 82:1 113:1 116:1 138:1 478:1 729:1 suspected
O 111:1 114:1 139:1 611:1 730:1 734:1 to
O 112:1 115:1 609:1 611:1 732:1 13670:1 be
B-DIS 62:1 609:1 610:1 733:1 13668:1 plague
O 4:1 8:1 60:1 610:1 13669:1 .
O 3:1 7:1 11:1 24:1 83:1 479:1 17175:1 Plague
O 25:1 81:1 152:1 477:1 11951:1 17176:1 is
O 82:1 150:1 478:1 572:1 1361:1 11949:1 endemic
O 62:1 151:1 570:1 1359:1 11950:1 there
O 4:1 8:1 60:1 571:1 1360:1 .
O 3:1 7:1 11:1 15:1 675:1 1007:1 1010:1 ProMED-mail
O 16:1 611:1 676:1 1005:1 1008:1 17180:1 would
O 26:1 609:1 1006:1 1009:1 1607:1 17178:1 appreciate
O 24:1 62:1 610:1 1605:1 17179:1 confirmation
O 4:1 8:1 25:1 60:1 1606:1 .
O 3:1 7:1 11:1 125:1 515:1 609:1 642:1 Note
O 68:1 123:1 173:1 513:1 610:1 643:1 that
O 17:1 66:1 124:1 171:1 514:1 4817:1 the
O 11:1 15:1 67:1 83:1 172:1 4815:1 14774:1 Congo
O 16:1 81:1 125:1 3557:1 4816:1 14772:1 lies
O 68:1 82:1 123:1 173:1 3555:1 14773:1 across
O 26:1 66:1 124:1 171:1 3556:1 4859:1 the
O 24:1 67:1 113:1 116:1 172:1 4857:1 border
O 25:1 68:1 111:1 114:1 173:1 4858:1 to
O 26:1 66:1 112:1 115:1 171:1 13367:1 the
O 24:1 67:1 125:1 161:1 172:1 13365:1 west
O 17:1 25:1 123:1 159:1 13366:1 16631:1 of
O 11:1 15:1 44:1 124:1 160:1 16629:1 Uganda
O 16:1 42:1 68:1 1022:1 16630:1 ,
O 26:1 43:1 66:1 1020:1 1448:1 an
O 24:1 67:1 1021:1 1046:1 1446:1 3371:1 area
O 25:1 1044:1 1361:1 1364:1 1447:1 3369:1 where
O 83:1 479:1 1045:1 1359:1 1362:1 3370:1 there
O 81:1 477:1 572:1 1360:1 1363:1 10994:1 is
O 68:1 82:1 287:1 478:1 570:1 10992:1 currently
O 66:1 285:1 571:1 611:1 10993:1 13670:1 a
B-DIS 26:1 67:1 286:1 609:1 722:1 13668:1 plague
O 24:1 89:1 610:1 720:1 13669:1 outbreak
O 25:1 87:1 608:1 611:1 721:1 -LRB-
O 26:1 88:1 606:1 609:1 17183:1 see
O 24:1 62:1 607:1 610:1 17181:1 ref
O 4:1 8:1 25:1 60:1 17182:1 .
O 3:1 7:1 17:1 30:1 677:1 1272:1 --
O 11:1 15:1 17:1 31:1 675:1 1273:1 1277:1 ProMED-mail
O 15:1 16:1 32:1 676:1 689:1 1275:1 <promed@promedmail.org>
O 16:1 30:1 104:1 687:1 1276:1 17186:1 ...
O 4:1 8:1 31:1 102:1 688:1 17184:1 jw/pg/es
