O 3:1 7:1 11:1 83:1 479:1 846:1 3714:1 It
O 81:1 477:1 572:1 847:1 1259:1 3715:1 is
O 82:1 478:1 570:1 572:1 1257:1 14207:1 now
O 140:1 570:1 571:1 1258:1 14205:1 14210:1 broadly
O 125:1 138:1 515:1 571:1 14206:1 14208:1 accepted
O 123:1 139:1 152:1 513:1 7025:1 14209:1 that
B-DIS 26:1 124:1 150:1 514:1 7023:1 14213:1 virulent
O 11:1 24:1 104:1 151:1 1247:1 7024:1 14211:1 APMV-1
B-DIS 25:1 102:1 572:1 1245:1 14212:1 14216:1 viruses
O 103:1 570:1 671:1 1246:1 14214:1 14219:1 generally
O 125:1 236:1 571:1 669:1 14215:1 14217:1 arise
O 26:1 123:1 234:1 670:1 7922:1 14218:1 in
B-VIC 24:1 124:1 125:1 143:1 235:1 7920:1 poultry
O 25:1 26:1 123:1 141:1 7921:1 14222:1 by
O 24:1 124:1 125:1 142:1 161:1 14220:1 mutation
O 25:1 104:1 123:1 159:1 1247:1 14221:1 of
B-DIS 102:1 124:1 125:1 160:1 161:1 1245:1 viruses
O 103:1 123:1 152:1 159:1 1246:1 3407:1 of
O 26:1 124:1 150:1 160:1 3405:1 4772:1 low
O 24:1 125:1 151:1 2015:1 3406:1 4770:1 virulence
O 25:1 68:1 123:1 323:1 2013:1 4771:1 after
O 66:1 104:1 124:1 321:1 1247:1 2014:1 these
B-DIS 67:1 102:1 322:1 668:1 671:1 1245:1 viruses
O 103:1 140:1 296:1 666:1 669:1 1246:1 have
O 138:1 140:1 294:1 667:1 670:1 14225:1 been
O 125:1 138:1 139:1 295:1 959:1 14223:1 introduced
O 26:1 123:1 139:1 957:1 7922:1 14224:1 into
B-VIC 24:1 104:1 124:1 958:1 7673:1 7920:1 poultry
O 25:1 89:1 102:1 7671:1 7921:1 flocks
O 17:1 87:1 103:1 7672:1 14228:1 -LRB-
O 11:1 15:1 17:1 88:1 14226:1 14231:1 Alexander
O 11:1 15:1 16:1 44:1 14227:1 14229:1 DJ
O 16:1 17:1 42:1 4043:1 14230:1 ,
O 11:1 15:1 17:1 43:1 4041:1 14234:1 British
O 11:1 15:1 16:1 17:1 4042:1 7181:1 14232:1 Poultry
O 11:1 15:1 16:1 50:1 7179:1 14177:1 14233:1 Science
O 16:1 44:1 48:1 7180:1 14175:1 42
O 42:1 49:1 50:1 14176:1 14237:1 ,
O 43:1 44:1 48:1 14235:1 5-22
O 42:1 49:1 50:1 56:1 14236:1 ,
O 43:1 48:1 54:1 95:1 2001
O 49:1 55:1 62:1 93:1 -RRB-
O 4:1 8:1 60:1 94:1 .
O 3:1 7:1 11:1 68:1 123:1 650:1 5535:1 Since
B-DIS 26:1 66:1 124:1 648:1 5536:1 14240:1 this
I-DIS 11:1 24:1 26:1 67:1 86:1 649:1 14238:1 ND
I-DIS 24:1 25:1 84:1 107:1 140:1 14239:1 virus
O 25:1 85:1 105:1 125:1 138:1 206:1 reported
O 17:1 106:1 123:1 139:1 204:1 1421:1 from
O 11:1 15:1 83:1 124:1 205:1 479:1 1419:1 Victoria
O 16:1 81:1 477:1 572:1 1420:1 2435:1 is
O 82:1 152:1 478:1 570:1 2060:1 2433:1 almost
O 113:1 116:1 150:1 571:1 2058:1 2434:1 identical
