it	PRP
was	VBD
in	IN
the	DT
municipality	NN
of	IN
Breves	NNP
,	,
on	IN
Marajo	NNP
Island	NNP
in	IN
Para	NNP
state	NN
,	,
where	WRB
there	EX
was	VBD
an	DT
outbreak	NN
in	IN
1998-99	CD
.	.
During	IN
the	DT
case	NN
investigation	NN
,	,
dead	JJ
monkeys	NNS
&	CC
sloths	NNS
were	VBD
found	VBN
near	IN
the	DT
probable	JJ
focus	NN
of	IN
infection	NN
.	.
In	IN
Amazonas	JJ
state	NN
also	RB
,	,
there	EX
have	VBP
been	VBN
reports	NNS
of	IN
dead	JJ
sloths	NNS
in	IN
places	NNS
where	WRB
human	JJ
cases	NNS
occur	VBP
.	.
In	IN
2002	CD
the	DT
total	NN
is	VBZ
already	RB
6	B-VIC
cases	I-VIC
&	CC
2	CD
deaths	NNS
-LRB-	-LRB-
case	NN
fatality	NN
rate	NN
of	IN
33	CD
%	NN
-RRB-	-RRB-
.	.
-LSB-	-LRB-
As	IN
far	RB
back	RB
as	IN
the	DT
1930s	NNS
,	,
Fred	NNP
Soper	NNP
&	CC
other	JJ
researchers	NNS
suspected	VBN
the	DT
sloth	NN
to	TO
be	VB
a	DT
reservoir	NN
of	IN
sylvan	NN
YF	NN
.	.
-	:
Mod.LJS	NN
-RSB-	-RRB-
