------------------------------------------------------	NUMBER
.	O
The	O
following	O
report	O
summarizes	O
West	DIS
Nile	DIS
virus	DIS
-LRB-	O
WNV	DIS
-RRB-	O
surveillance	O
data	O
reported	O
to	O
CDC	ORGANIZATION
through	O
ArboNET	O
verified	O
by	O
states	O
jurisdictions	O
as	O
of	O
Tue	DATE
13	DATE
Nov	DATE
2001	DATE
.	O
During	O
the	DATE
week	DATE
of	DATE
Wed	DATE
7	NUMBER
to	O
Tue	DATE
13	DATE
Nov	DATE
2001	DATE
,	O
3	NUMBER
human	VIC
cases	VIC
of	O
WNV	DIS
encephalitis	DIS
or	DIS
meningitis	DIS
were	O
reported	O
from	O
New	LOCATION
York	LOCATION
-LRB-	O
2	NUMBER
-RRB-	O
Louisiana	LOCATION
-LRB-	O
1	NUMBER
-RRB-	O
.	O
During	O
the	O
same	O
period	O
,	O
WNV	DIS
infections	DIS
were	O
reported	O
in	O
266	NUMBER
crows	VIC
,	O
15	NUMBER
other	VIC
birds	VIC
,	O
6	NUMBER
horses	VIC
.	O
A	O
total	O
of	O
17	NUMBER
WNV-positive	O
mosquito	O
pools	O
was	O
reported	O
from	O
2	NUMBER
jurisdictions	O
-LRB-	O
Pennsylvania	LOCATION
District	LOCATION
of	LOCATION
Columbia	LOCATION
-RRB-	O
.	O
During	O
2001	DATE
,	O
a	O
total	O
of	O
45	VIC
human	VIC
cases	VIC
of	O
WNV	DIS
encephalitis	DIS
or	DIS
meningitis	DIS
has	O
been	O
reported	O
from	O
New	LOCATION
York	LOCATION
-LRB-	O
12	NUMBER
-RRB-	O
,	O
Florida	LOCATION
-LRB-	O
10	NUMBER
-RRB-	O
,	O
Connecticut	LOCATION
-LRB-	O
6	NUMBER
-RRB-	O
,	O
Maryland	LOCATION
-LRB-	O
6	NUMBER
-RRB-	O
,	O
New	LOCATION
Jersey	LOCATION
-LRB-	O
6	NUMBER
-RRB-	O
,	O
Pennsylvania	LOCATION
-LRB-	O
3	NUMBER
-RRB-	O
,	O
Georgia	LOCATION
-LRB-	O
1	NUMBER
-RRB-	O
,	O
Louisiana	LOCATION
-LRB-	O
1	NUMBER
-RRB-	O
.	O
Among	O
these	O
45	VIC
cases	VIC
,	O
24	NUMBER
-LRB-	O
