mosquitoes	NNS
on	IN
a	DT
Maryland	NNP
island	NN
in	IN
the	DT
Potomac	NNP
River	NNP
near	IN
Loudoun	NNP
County	NNP
,	,
offering	VBG
the	DT
first	JJ
independent	JJ
confirmation	NN
that	IN
the	DT
infected	JJ
insects	NNS
appear	VBP
to	TO
be	VB
in	IN
the	DT
Washington	NNP
area	NN
,	,
health	NN
officials	NNS
said	VBD
yesterday	NN
.	.
The	DT
researchers	NNS
working	VBG
on	IN
Selden	NNP
Island	NNP
in	IN
Montgomery	NNP
County	NNP
used	VBD
a	DT
different	JJ
testing	NN
method	NN
than	IN
-LSB-	-LRB-
that	IN
-RSB-	-RRB-
employed	VBN
in	IN
Loudoun	NNP
,	,
where	WRB
a	DT
contractor	NN
said	VBD
this	DT
month	NN
that	IN
it	PRP
also	RB
had	VBD
found	VBN
2	CD
pools	NNS
of	IN
infected	JJ
mosquitoes	NNS
,	,
researchers	NNS
said	VBD
.	.
Robert	NNP
A.	NNP
Wirtz	NNP
,	,
chief	NN
of	IN
the	DT
Entomology	NNP
Branch	NNP
at	IN
the	DT
Centers	NNPS
for	IN
Disease	NNP
Control	NNP
and	CC
Prevention	NNP
,	,
said	VBD
researchers	NNS
in	IN
Atlanta	NNP
plan	NN
to	TO
test	VB
the	DT
latest	JJS
results	NNS
.	.
But	CC
Wirtz	NNP
said	VBD
the	DT
polymerase	NN
chain	NN
reaction	NN
-LSB-	-LRB-
PCR	NN
-RSB-	-RRB-
test	NN
used	VBN
in	IN
Maryland	NNP
,	,
in	IN
which	WDT
genetic	JJ
material	NN
is	VBZ
amplified	VBN
to	TO
make	VB
it	PRP
easier	JJR
to	TO
find	VB
the	DT
malaria	NN
parasite	NN
's	POS
DNA	NN
,	,
has	VBZ
long	RB
proven	VBN
reliable	JJ
.	.
``	``
If	IN
these	DT
are	VBP
true	JJ
positives	NNS
,	,
this	DT
is	VBZ
a	DT
big	JJ
surprise	NN
,	,
''	''
said	VBD
Wirtz	NNP
.	.
``	``
It	PRP
's	VBZ
unlikely	JJ
,	,
and	CC
it	PRP
's	VBZ
surprising	JJ
,	,
but	CC
it	PRP
's	VBZ
explainable	JJ
.	.
''	''
Wirtz	NNP
said	VBD
it	PRP
's	VBZ
likely	JJ
that	IN
people	NNS
who	WP
picked	VBD
up	RP
malaria	NN
overseas	RB
are	VBP
in	IN
the	DT
area	NN
and	CC
that	IN
they	PRP
had	VBD
infected	VBN
the	DT
mosquitoes	NNS
.	.
Some	DT
of	IN
them	PRP
might	MD
not	RB
have	VB
symptoms	NNS
of	IN
the	DT
disease	NN
,	,
he	PRP
said	VBD
.	.
Also	RB
,	,
while	IN
it	PRP
is	VBZ
rare	JJ
to	TO
see	VB
so	RB
many	JJ
malaria-carrying	JJ
mosquitoes	NNS
in	IN
one	CD
place	NN
in	IN
the	DT
United	NNP
States	NNPS
,	,
it	PRP
could	MD
happen	VB
,	,
he	PRP
added	VBD
.	.
``	``
They	PRP
've	VBP
got	VBD
a	DT
lot	NN
of	IN
migrant	JJ
workers	NNS
in	IN
the	DT
area	NN
,	,
''	''
Wirtz	NNP
said	VBD
.	.
Agricultural	NNP
laborers	NNS
who	WP
work	VBP
daily	RB
on	IN
Selden	NNP
Island	NNP
,	,
which	WDT
is	VBZ
privately	RB
owned	VBN
,	,
will	MD
be	VB
contacted	VBN
today	NN
and	CC
could	MD
be	VB
tested	VBN
for	IN
malaria	NN
,	,
Loudoun	NNP
County	NNP
Health	NNP
Director	NNP
David	NNP
Goodfriend	NNP
said	VBD
.	.
It	PRP
has	VBZ
been	VBN
decades	NNS
since	IN
mosquitoes	NNS
testing	VBG
positive	JJ
for	IN
malaria	NN
have	VBP
been	VBN
found	VBN
in	IN
the	DT
United	NNP
States	NNPS
near	IN
where	WRB
humans	NNS
have	VBP
been	VBN
infected	VBN
,	,
as	IN
2	B-VIC
Loudoun	I-VIC
teenagers	I-VIC
were	VBD
during	IN
the	DT
summer	NN
,	,
researchers	NNS
said	VBD
.	.
Carol	NNP
Garvey	NNP
,	,
health	NN
officer	NN
for	IN
Montgomery	NNP
County	NNP
,	,
noted	VBD
that	IN
no	DT
infected	JJ
mosquitoes	NNS
have	VBP
been	VBN
found	VBN
on	IN
Maryland	NNP
's	POS
mainland	NN
.	.
She	PRP
said	VBD
the	DT
increasing	VBG
globalization	NN
of	IN
the	DT
Washington	NNP
area	NN
--	:
with	IN
its	PRP$
many	JJ
travellers	NNS
and	CC
residents	NNS
from	IN
countries	NNS
with	IN
widespread	JJ
malaria	NN
--	:
probably	RB
-LSB-	-LRB-
accounts	NNS
-RSB-	-RRB-
for	IN
the	DT
rare	JJ
occurrence	NN
of	IN
infected	JJ
mosquitoes	NNS
.	.
The	DT
latest	JJS
findings	NNS
have	VBP
revived	VBN
debate	NN
about	IN
whether	IN
spraying	VBG
for	IN
adult	JJ
mosquitoes	NNS
would	MD
help	VB
reduce	VB
risk	NN
for	IN
malaria	NN
.	.
Garvey	NNP
said	VBD
consultations	NNS
among	IN
local	JJ
and	CC
state	NN
officials	NNS
in	IN
Maryland	NNP
,	,
and	CC
with	IN
officials	NNS
in	IN
Virginia	NNP
,	,
would	MD
result	VB
in	IN
a	DT
decision	NN
this	DT
week	NN
about	IN
whether	IN
to	TO
spray	NN
.	.
Goodfriend	NNP
said	VBD
another	DT
spraying	VBG
is	VBZ
an	DT
option	NN
in	IN
Loudoun	NNP
County	NNP
,	,
where	WRB
spraying	VBG
for	IN
mosquitoes	NNS
took	VBD
place	NN
in	IN
one	CD
neighborhood	NN
on	IN
9	CD
Sep	NN
2002	CD
.	.
But	CC
officials	NNS
are	VBP
waiting	VBG
