0 3:1 7:1 68:1 840:1 5450:1
0 11:1 17:1 66:1 841:1 5448:1 7229:1
0 11:1 15:1 67:1 104:1 2546:1 5449:1 7227:1
0 16:1 102:1 668:1 671:1 2544:1 7228:1
0 103:1 140:1 296:1 666:1 669:1 2545:1
0 138:1 140:1 294:1 667:1 670:1 1397:1
0 125:1 138:1 139:1 295:1 398:1 1395:1
0 14:1 17:1 123:1 139:1 396:1 1396:1
0 11:1 12:1 15:1 17:1 20:1 124:1 397:1
2 11:1 13:1 15:1 16:1 18:1 26:1 194:1
4 16:1 19:1 24:1 68:1 192:1 650:1
0 25:1 26:1 66:1 193:1 648:1 1166:1
0 24:1 32:1 67:1 338:1 649:1 1164:1
0 25:1 30:1 336:1 572:1 1165:1 3197:1
0 31:1 44:1 337:1 570:1 3195:1
0 42:1 68:1 173:1 571:1 3196:1
0 26:1 43:1 66:1 171:1 2138:1
0 24:1 67:1 125:1 161:1 172:1 2136:1
0 14:1 17:1 25:1 123:1 159:1 2137:1
0 11:1 12:1 15:1 17:1 20:1 124:1 160:1
2 11:1 13:1 15:1 16:1 18:1 26:1 86:1
2 16:1 19:1 24:1 84:1 125:1 236:1
0 25:1 68:1 85:1 123:1 234:1 287:1
0 26:1 66:1 124:1 235:1 285:1 665:1
2 24:1 67:1 83:1 286:1 479:1 663:1
0 25:1 68:1 81:1 287:1 477:1 664:1
0 26:1 66:1 82:1 285:1 478:1 7232:1
0 24:1 67:1 125:1 286:1 515:1 7230:1
0 25:1 68:1 123:1 173:1 513:1 7231:1
0 26:1 66:1 86:1 124:1 171:1 514:1
0 24:1 67:1 83:1 84:1 172:1 479:1
0 25:1 81:1 85:1 477:1 572:1 7235:1
0 82:1 131:1 134:1 478:1 570:1 7233:1
0 129:1 132:1 571:1 848:1 896:1 7234:1
0 68:1 130:1 133:1 413:1 846:1 894:1
0 66:1 411:1 671:1 847:1 895:1 7238:1
0 67:1 113:1 116:1 412:1 669:1 7236:1
0 111:1 114:1 611:1 670:1 3596:1 7237:1
0 104:1 112:1 115:1 609:1 3594:1 3602:1
0 44:1 102:1 610:1 3595:1 3600:1
0 42:1 103:1 875:1 3601:1
0 17:1 43:1 873:1 7241:1
0 11:1 15:1 110:1 874:1 890:1 7239:1
0 16:1 62:1 108:1 888:1 7240:1
0 4:1 8:1 60:1 109:1 889:1
0 3:1 7:1 125:1 840:1 5537:1
0 11:1 68:1 123:1 173:1 841:1 5535:1
0 26:1 66:1 124:1 171:1 5536:1 7244:1
0 24:1 67:1 125:1 161:1 172:1 7242:1
0 25:1 123:1 152:1 159:1 188:1 7243:1
0 124:1 131:1 134:1 150:1 160:1 186:1
2 129:1 132:1 151:1 152:1 187:1 7247:1
2 14:1 17:1 130:1 133:1 150:1 7245:1
2 11:1 12:1 15:1 17:1 20:1 151:1 7246:1
