1 3:1 7:1 11:1 48:1 104:1 191:1 14448:1
2 49:1 89:1 102:1 189:1 14449:1
0 50:1 87:1 103:1 190:1 224:1
0 48:1 88:1 152:1 222:1 1319:1
0 49:1 95:1 150:1 223:1 1317:1
0 93:1 125:1 151:1 161:1 1318:1
0 94:1 123:1 152:1 159:1 22631:1
3 124:1 150:1 160:1 671:1 13670:1 22629:1
4 151:1 668:1 669:1 671:1 13668:1 22630:1
0 140:1 296:1 666:1 669:1 670:1 13669:1
0 138:1 140:1 294:1 667:1 670:1 3353:1
0 125:1 138:1 139:1 236:1 295:1 3351:1
0 68:1 123:1 139:1 234:1 287:1 3352:1
0 26:1 66:1 124:1 235:1 285:1 2555:1
0 24:1 26:1 67:1 286:1 2553:1 3431:1
0 24:1 25:1 113:1 116:1 2554:1 3429:1
0 17:1 25:1 111:1 114:1 3430:1 22634:1
0 11:1 15:1 44:1 112:1 115:1 22632:1
0 16:1 42:1 125:1 236:1 22633:1
0 17:1 43:1 123:1 234:1 22637:1
0 11:1 15:1 26:1 124:1 235:1 15896:1 22635:1
0 16:1 24:1 44:1 15894:1 22636:1
0 25:1 42:1 50:1 8093:1 15895:1
0 26:1 43:1 48:1 8091:1 15320:1
0 24:1 26:1 49:1 8092:1 13367:1 15318:1
0 24:1 25:1 125:1 161:1 13365:1 15319:1
0 17:1 25:1 123:1 159:1 13366:1 22640:1
0 11:1 15:1 44:1 124:1 160:1 22638:1
0 16:1 42:1 74:1 557:1 22639:1
0 43:1 72:1 113:1 116:1 555:1
0 68:1 73:1 111:1 114:1 287:1 556:1
0 26:1 66:1 112:1 115:1 285:1 2375:1
0 24:1 67:1 286:1 572:1 2373:1 3431:1
0 25:1 113:1 116:1 570:1 2374:1 3429:1
0 68:1 111:1 114:1 173:1 571:1 3430:1
0 17:1 66:1 112:1 115:1 171:1 2525:1
0 11:1 15:1 67:1 125:1 161:1 172:1 2523:1
0 16:1 17:1 123:1 159:1 1310:1 2524:1
0 11:1 15:1 62:1 124:1 160:1 1308:1
0 4:1 8:1 16:1 60:1 1309:1
0 3:1 7:1 11:1 63:1 66:1 152:1 1319:1
0 26:1 64:1 67:1 150:1 866:1 1317:1
0 24:1 110:1 151:1 864:1 1318:1 4970:1
0 25:1 108:1 572:1 865:1 3059:1 4968:1
0 109:1 125:1 236:1 570:1 3057:1 4969:1
0 68:1 123:1 173:1 234:1 571:1 3058:1
0 26:1 66:1 124:1 171:1 235:1 2570:1
0 24:1 67:1 125:1 161:1 172:1 2568:1
0 25:1 68:1 123:1 159:1 173:1 2569:1
0 26:1 66:1 124:1 160:1 171:1 365:1
0 24:1 67:1 125:1 172:1 363:1 485:1
0 25:1 26:1 123:1 364:1 483:1 878:1
