B-VIC 3:1 7:1 11:1 48:1 104:1 191:1 14481:1 Nine
I-VIC 49:1 89:1 102:1 189:1 14482:1 cases
O 50:1 87:1 103:1 190:1 224:1 -LRB-
O 48:1 88:1 152:1 222:1 1319:1 1
O 49:1 95:1 150:1 223:1 1317:1 fatal
O 93:1 125:1 151:1 161:1 1318:1 -RRB-
O 94:1 123:1 152:1 159:1 22664:1 of
B-DIS 124:1 150:1 160:1 671:1 13670:1 22662:1 bubonic
I-DIS 151:1 668:1 669:1 671:1 13668:1 22663:1 plague
O 140:1 296:1 666:1 669:1 670:1 13669:1 have
O 138:1 140:1 294:1 667:1 670:1 3353:1 been
O 125:1 138:1 139:1 236:1 295:1 3351:1 detected
O 68:1 123:1 139:1 234:1 287:1 3352:1 in
O 26:1 66:1 124:1 235:1 285:1 2555:1 a
O 24:1 26:1 67:1 286:1 2553:1 3431:1 village
O 24:1 25:1 113:1 116:1 2554:1 3429:1 close
O 17:1 25:1 111:1 114:1 3430:1 22667:1 to
O 11:1 15:1 44:1 112:1 115:1 22665:1 Tafraoui
O 16:1 42:1 125:1 236:1 22666:1 ,
O 17:1 43:1 123:1 234:1 22670:1 in
O 11:1 15:1 26:1 124:1 235:1 15896:1 22668:1 Oran
O 16:1 24:1 44:1 15894:1 22669:1 prefecture
O 25:1 42:1 50:1 8093:1 15895:1 ,
O 26:1 43:1 48:1 8091:1 15428:1 450
O 24:1 26:1 49:1 8092:1 13367:1 15426:1 km
O 24:1 25:1 125:1 161:1 13365:1 15427:1 west
O 17:1 25:1 123:1 159:1 13366:1 22673:1 of
O 11:1 15:1 44:1 124:1 160:1 22671:1 Algiers
O 16:1 42:1 74:1 557:1 22672:1 ,
O 43:1 72:1 113:1 116:1 555:1 according
O 68:1 73:1 111:1 114:1 287:1 556:1 to
O 26:1 66:1 112:1 115:1 285:1 2375:1 a
O 24:1 67:1 286:1 572:1 2373:1 3431:1 source
O 25:1 113:1 116:1 570:1 2374:1 3429:1 close
O 68:1 111:1 114:1 173:1 571:1 3430:1 to
O 17:1 66:1 112:1 115:1 171:1 2525:1 the
O 11:1 15:1 67:1 125:1 161:1 172:1 2523:1 Ministry
O 16:1 17:1 123:1 159:1 1310:1 2524:1 of
O 11:1 15:1 62:1 124:1 160:1 1308:1 Health
O 4:1 8:1 16:1 60:1 1309:1 .
O 3:1 7:1 11:1 63:1 66:1 152:1 1319:1 The
O 26:1 64:1 67:1 150:1 866:1 1317:1 fatal
O 24:1 110:1 151:1 864:1 1318:1 5390:1 case
O 25:1 108:1 572:1 865:1 3059:1 5388:1 arrived
O 109:1 125:1 236:1 570:1 3057:1 5389:1 late
O 68:1 123:1 173:1 234:1 571:1 3058:1 in
O 26:1 66:1 124:1 171:1 235:1 2570:1 the
O 24:1 67:1 125:1 161:1 172:1 2568:1 course
O 25:1 68:1 123:1 159:1 173:1 2569:1 of
O 26:1 66:1 124:1 160:1 171:1 365:1 the
O 24:1 67:1 125:1 172:1 363:1 485:1 illness
O 25:1 26:1 123:1 364:1 483:1 878:1 at
O 24:1 26:1 124:1 484:1 876:1 22676:1 hospital
O 24:1 25:1 44:1 877:1 22674:1 mid-week
O 25:1 42:1 131:1 134:1 22675:1 ,
O 43:1 129:1 132:1 1010:1 2483:1 and
O 130:1 133:1 572:1 1008:1 1097:1 2481:1 could
O 570:1 611:1 734:1 1009:1 1095:1 2482:1 not
O 140:1 571:1 609:1 732:1 1096:1 22679:1 be
O 62:1 138:1 610:1 733:1 22677:1 saved
O 4:1 8:1 60:1 139:1 22678:1 .
O 3:1 7:1 11:1 63:1 66:1 104:1 6476:1 The
O 64:1 67:1 102:1 671:1 1052:1 6474:1 others
O 74:1 103:1 669:1 1050:1 1367:1 6475:1 are
O 72:1 140:1 670:1 1013:1 1051:1 1365:1 being
O 73:1 131:1 134:1 138:1 1011:1 1366:1 treated
O 129:1 132:1 139:1 914:1 977:1 1012:1 and
O 26:1 130:1 133:1 912:1 975:1 980:1 their
O 24:1 83:1 479:1 913:1 976:1 978:1 condition
O 25:1 74:1 81:1 477:1 979:1 22682:1 is
O 62:1 72:1 82:1 478:1 22680:1 improving
O 4:1 8:1 60:1 73:1 22681:1 .
O 3:1 7:1 26:1 87:1 501:1 17177:1 -LSB-
O 11:1 24:1 83:1 88:1 479:1 502:1 17175:1 Plague
O 25:1 81:1 477:1 572:1 1097:1 17176:1 is
O 82:1 478:1 570:1 572:1 1028:1 1095:1 not
O 107:1 140:1 570:1 571:1 1026:1 1096:1 commonly
O 105:1 125:1 138:1 206:1 571:1 1027:1 reported
O 17:1 106:1 123:1 139:1 204:1 434:1 from
O 11:1 15:1 17:1 124:1 205:1 432:1 9056:1 North
O 11:1 15:1 16:1 44:1 433:1 9054:1 Africa
O 16:1 42:1 131:1 134:1 9055:1 ,
O 17:1 43:1 129:1 132:1 677:1 and
O 11:1 15:1 83:1 130:1 133:1 293:1 675:1 ProMED-mail
O 16:1 81:1 291:1 572:1 676:1 1097:1 has
O 82:1 107:1 140:1 292:1 570:1 1095:1 not
O 68:1 105:1 138:1 287:1 571:1 1096:1 reported
O 26:1 66:1 106:1 139:1 285:1 866:1 a
O 24:1 67:1 125:1 206:1 286:1 864:1 case
O 17:1 25:1 123:1 204:1 865:1 22673:1 from
O 11:1 15:1 124:1 125:1 205:1 236:1 22671:1 Algiers
O 16:1 123:1 234:1 914:1 1823:1 22672:1 in
O 50:1 124:1 235:1 305:1 912:1 1821:1 its
O 48:1 104:1 303:1 350:1 913:1 1822:1 10
O 49:1 102:1 125:1 161:1 304:1 348:1 years
O 26:1 103:1 123:1 159:1 349:1 4046:1 of
O 24:1 44:1 124:1 160:1 4044:1 existence
O 25:1 42:1 134:1 2072:1 4045:1 ,
O 26:1 43:1 132:1 2070:1 8426:1 but
O 24:1 125:1 133:1 161:1 2071:1 8424:1 consumption
O 25:1 68:1 123:1 159:1 173:1 8425:1 of
O 26:1 66:1 124:1 160:1 171:1 11978:1 the
O 24:1 67:1 125:1 161:1 172:1 11976:1 meat
O 25:1 68:1 123:1 159:1 1022:1 11977:1 of
O 66:1 124:1 152:1 160:1 1020:1 1931:1 an
O 26:1 67:1 150:1 1021:1 1929:1 22685:1 infected
O 24:1 83:1 151:1 293:1 1930:1 22683:1 camel
O 25:1 81:1 140:1 291:1 296:1 22684:1 has
O 82:1 107:1 138:1 140:1 292:1 294:1 been
O 105:1 113:1 116:1 138:1 139:1 295:1 reported
O 106:1 111:1 114:1 139:1 611:1 3248:1 to
O 112:1 115:1 609:1 611:1 3246:1 13670:1 cause
B-DIS 125:1 236:1 609:1 610:1 3247:1 13668:1 plague
O 74:1 123:1 234:1 610:1 5315:1 13669:1 in
O 17:1 72:1 124:1 235:1 5313:1 22688:1 neighboring
O 11:1 15:1 73:1 89:1 5314:1 22686:1 Libya
O 16:1 17:1 87:1 22687:1 22691:1 -LRB-
O 11:1 15:1 17:1 88:1 22689:1 22694:1 Christie
O 11:1 15:1 16:1 44:1 22690:1 22692:1 AB
O 16:1 17:1 42:1 22693:1 22697:1 ,
O 11:1 15:1 26:1 43:1 22695:1 22700:1 Chen
O 11:1 16:1 24:1 44:1 22696:1 22698:1 TH
O 17:1 25:1 42:1 22699:1 22703:1 ,
O 11:1 15:1 17:1 43:1 22701:1 22706:1 Elberg
O 11:1 15:1 16:1 62:1 22702:1 22704:1 SS
O 4:1 8:1 16:1 60:1 22705:1 .
O 3:1 7:1 11:1 125:1 236:1 609:1 17175:1 Plague
O 104:1 123:1 234:1 610:1 17176:1 22709:1 in
O 102:1 124:1 131:1 134:1 235:1 22707:1 camels
O 103:1 104:1 129:1 132:1 20831:1 22708:1 and
O 32:1 102:1 130:1 133:1 20829:1 goats
O 30:1 103:1 914:1 977:1 20830:1 :
O 26:1 31:1 912:1 975:1 2756:1 their
O 24:1 125:1 236:1 913:1 976:1 2754:1 role
O 25:1 123:1 152:1 188:1 234:1 2755:1 in
O 104:1 124:1 150:1 186:1 235:1 19523:1 human
O 62:1 102:1 151:1 187:1 19521:1 epidemics
O 4:1 8:1 60:1 103:1 19522:1 .
O 3:1 7:1 11:1 15:1 17:1 2808:1 21704:1 J
O 11:1 15:1 16:1 17:1 1736:1 2809:1 21702:1 Infect
O 11:1 15:1 16:1 50:1 1734:1 5468:1 21703:1 Dis
O 16:1 32:1 48:1 338:1 1735:1 5466:1 1980
O 30:1 49:1 50:1 336:1 5467:1 22712:1 ;
O 31:1 32:1 48:1 337:1 22710:1 141
O 30:1 49:1 50:1 22711:1 22715:1 :
O 31:1 48:1 95:1 22713:1 724-6
O 49:1 62:1 93:1 22714:1 -RRB-
O 4:1 8:1 60:1 94:1 .
O 3:1 7:1 11:1 572:1 846:1 1442:1 2970:1 I
O 110:1 570:1 847:1 1440:1 2971:1 11747:1 also
O 108:1 125:1 161:1 571:1 1441:1 11745:1 heard
O 68:1 109:1 123:1 159:1 287:1 11746:1 of
O 66:1 124:1 152:1 160:1 285:1 1103:1 a
O 26:1 67:1 150:1 286:1 866:1 1101:1 similar
O 24:1 125:1 151:1 236:1 864:1 1102:1 case
O 17:1 25:1 123:1 234:1 865:1 7376:1 in
O 11:1 15:1 17:1 124:1 235:1 7374:1 7379:1 Saudi
O 11:1 15:1 16:1 104:1 350:1 7375:1 7377:1 Arabia
O 16:1 102:1 348:1 572:1 7378:1 11336:1 years
O 62:1 103:1 349:1 570:1 11334:1 ago
O 4:1 8:1 60:1 571:1 11335:1 .
O 3:1 7:1 11:1 26:1 63:1 66:1 22718:1 The
O 24:1 64:1 67:1 125:1 161:1 22716:1 remoteness
O 25:1 68:1 123:1 159:1 650:1 22717:1 of
O 26:1 66:1 124:1 160:1 648:1 3332:1 this
O 24:1 67:1 125:1 236:1 649:1 3330:1 location
O 17:1 25:1 123:1 234:1 3331:1 22721:1 in
O 11:1 15:1 83:1 124:1 235:1 10187:1 22719:1 Algeria
O 16:1 81:1 125:1 515:1 10185:1 22720:1 means
O 68:1 82:1 123:1 323:1 513:1 10186:1 that
O 66:1 104:1 124:1 191:1 321:1 514:1 these
B-VIC 67:1 102:1 189:1 322:1 671:1 1052:1 cases
O 103:1 190:1 572:1 669:1 899:1 1050:1 are
O 152:1 570:1 670:1 897:1 1051:1 7154:1 very
O 113:1 116:1 150:1 571:1 898:1 7152:1 unlikely
O 111:1 114:1 151:1 611:1 668:1 7153:1 to
O 104:1 112:1 115:1 609:1 666:1 19931:1 have
O 102:1 125:1 533:1 610:1 667:1 19929:1 implications
O 103:1 123:1 152:1 531:1 11741:1 19930:1 for
O 26:1 124:1 150:1 532:1 11045:1 11739:1 international
O 24:1 134:1 151:1 197:1 11043:1 11740:1 trade
O 25:1 26:1 132:1 195:1 11044:1 15926:1 or
O 24:1 62:1 133:1 196:1 15924:1 travel
O 4:1 8:1 25:1 60:1 15925:1 .
O 3:1 7:1 26:1 30:1 633:1 4814:1 -
O 11:1 24:1 31:1 32:1 634:1 2642:1 4812:1 Mod.JW
O 25:1 26:1 30:1 2640:1 4813:1 7223:1 /
O 11:1 24:1 31:1 95:1 641:1 2641:1 7221:1 DS
O 25:1 32:1 93:1 639:1 689:1 7222:1 -RSB-
O 30:1 94:1 152:1 640:1 687:1 13589:1 ...
O 4:1 8:1 31:1 150:1 688:1 13587:1 jw/sh
