------------------------------------------------------	CD
.	.
The	DT
following	VBG
report	NN
summarizes	VBZ
West	NNP
Nile	NNP
virus	NN
-LRB-	-LRB-
WNV	NN
-RRB-	-RRB-
surveillance	NN
data	NNS
reported	VBD
to	TO
CDC	NNP
through	IN
ArboNET	NNP
and	CC
verified	VBN
by	IN
states	NNS
and	B-VIC
other	I-VIC
jurisdictions	NNS
as	IN
of	IN
Tue	NNP
13	CD
Nov	NNP
2001	CD
.	.
During	IN
the	DT
week	NN
of	IN
Wed	VBN
7	CD
to	TO
Tue	NNP
13	CD
Nov	NNP
2001	CD
,	,
3	CD
human	B-VIC
cases	I-VIC
of	IN
WNV	NNP
encephalitis	NN
or	CC
meningitis	NN
were	VBD
reported	VBN
from	IN
New	NNP
York	NNP
-LRB-	-LRB-
2	LS
-RRB-	-RRB-
and	CC
Louisiana	NNP
-LRB-	-LRB-
1	LS
-RRB-	-RRB-
.	.
During	IN
the	DT
same	JJ
period	NN
,	,
WNV	NN
infections	NNS
were	VBD
reported	VBN
in	IN
266	CD
crows	NNS
,	,
15	CD
other	B-VIC
birds	I-VIC
,	,
and	CC
6	CD
horses	NNS
.	.
A	DT
total	NN
of	IN
17	CD
WNV-positive	JJ
mosquito	NN
pools	NNS
was	VBD
reported	VBN
from	IN
2	CD
jurisdictions	NNS
-LRB-	-LRB-
Pennsylvania	NNP
and	CC
District	NNP
of	IN
Columbia	NNP
-RRB-	-RRB-
.	.
During	IN
2001	CD
,	,
a	DT
total	NN
of	IN
45	B-VIC
human	I-VIC
cases	I-VIC
of	IN
WNV	NNP
encephalitis	NN
or	CC
meningitis	NN
has	VBZ
been	VBN
reported	VBN
from	IN
New	NNP
York	NNP
-LRB-	-LRB-
12	CD
-RRB-	-RRB-
,	,
Florida	NNP
-LRB-	-LRB-
10	CD
-RRB-	-RRB-
,	,
Connecticut	NNP
-LRB-	-LRB-
6	CD
-RRB-	-RRB-
,	,
Maryland	NNP
-LRB-	-LRB-
6	CD
-RRB-	-RRB-
,	,
New	NNP
Jersey	NNP
-LRB-	-LRB-
6	CD
-RRB-	-RRB-
,	,
Pennsylvania	NNP
-LRB-	-LRB-
3	LS
-RRB-	-RRB-
,	,
Georgia	NNP
-LRB-	-LRB-
1	LS
-RRB-	-RRB-
,	,
and	CC
Louisiana	NNP
-LRB-	-LRB-
1	LS
-RRB-	-RRB-
.	.
Among	IN
these	DT
45	B-VIC
cases	I-VIC
,	,
24	CD
-LRB-	-LRB-
53	CD
%	NN
-RRB-	-RRB-
were	VBD
in	IN
men	NNS
;	:
the	DT
median	JJ
age	NN
was	VBD
70	CD
years	NNS
-LRB-	-LRB-
range	NN
:	:
36	CD
to	TO
90	CD
years	NNS
-RRB-	-RRB-
;	:
dates	NNS
of	IN
illness	NN
onset	NN
ranged	VBD
from	IN
13	CD
Jul	NNP
to	TO
7	CD
Oct	NN
2001	CD
;	:
three	CD
persons	NNS
died	VBD
.	.
During	IN
2001	CD
,	,
totals	NNS
of	IN
4517	B-VIC
crows	I-VIC
and	I-VIC
1474	I-VIC
other	I-VIC
birds	I-VIC
with	IN
WNV	NN
infection	NN
were	VBD
reported	VBN
from	IN
26	CD
states	NNS
and	CC
the	DT
District	NNP
of	IN
Columbia	NNP
.	.
During	IN
2001	CD
,	,
176	CD
WNV	NN
infections	NNS
in	IN
other	B-VIC
animals	I-VIC
-LRB-	-LRB-
all	B-VIC
horses	I-VIC
-RRB-	-RRB-
were	VBD
reported	VBN
from	IN
14	CD
states	NNS
-LRB-	-LRB-
Alabama	NNP
,	,
Connecticut	NNP
,	,
Florida	NNP
,	,
Georgia	NNP
,	,
Indiana	NNP
,	,
Kentucky	NNP
,	,
Louisiana	NNP
,	,
Massachusetts	NNP
,	,
Mississippi	NNP
,	,
New	NNP
York	NNP
,	,
North	NNP
Carolina	NNP
,	,
Pennsylvania	NNP
,	,
Tennessee	NNP
,	,
and	CC
Virginia	NNP
-RRB-	-RRB-
.	.
During	IN
2001	CD
,	,
753	CD
WNV-positive	JJ
mosquito	NN
pools	NNS
were	VBD
reported	VBN
from	IN
15	CD
states	NNS
-LRB-	-LRB-
Connecticut	NNP
,	,
Florida	NNP
,	,
Georgia	NNP
,	,
Illinois	NNP
,	,
Kentucky	NNP
,	,
Maryland	NNP
,	,
Massachusetts	NNP
,	,
Michigan	NNP
,	,
New	NNP
Hampshire	NNP
,	,
New	NNP
Jersey	NNP
,	,
New	NNP
York	NNP
,	,
Ohio	NNP
,	,
Pennsylvania	NNP
,	,
Rhode	NNP
Island	NNP
,	,
and	CC
Virginia	NNP
-RRB-	-RRB-
and	CC
the	DT
District	NNP
of	IN
Columbia	NNP
.	.
Additional	JJ
information	NN
about	IN
WNV	NN
activity	NN
is	VBZ
available	JJ
at	IN
<	JJR
http://www.cdc.gov/ncidod/dvbid/westnile/index.htm	CD
>	JJR
and	CC
<	JJR
http://cindi.usgs.gov/hazard/event/west_nile/west_nile.html	CD
>	JJR
.	.
-LSB-	-LRB-
On	IN
Wed	VBN
14	CD
Nov	NNP
2001	CD
,	,
2	CD
additional	JJ
cases	NNS
of	IN
human	JJ
West	NNP
Nile	NNP
virus	NN
infection	NN
were	VBD
reported	VBN
from	IN
Massachusetts	NNP
-LRB-	-LRB-
the	DT
first	JJ
in	IN
that	DT
state	NN
-RRB-	-RRB-
bringing	VBG
the	DT
total	NN
of	IN
human	JJ
infections	NNS
to	TO
at	B-VIC
least	I-VIC
47	I-VIC
for	IN
the	DT
2001	CD
season	NN
.	.
One	CD
of	IN
the	DT
two	CD
Massachusetts	NNP
patients	NNS
died	VBD
,	,
bringing	VBG
the	DT
total	JJ
number	NN
of	IN
deaths	NNS
to	TO
4	CD
for	IN
the	DT
2001	CD
season	NN
according	VBG
to	TO
the	DT
above	JJ
figures	NNS
.	.
The	DT
above	JJ
MMWR	NN
report	NN
still	RB
under-records	VBZ
the	DT
number	NN
of	IN
confirmed	VBN
equine	NN
cases	NNS
in	IN
2001	CD
.	.
The	DT
most	RBS
recent	JJ
USDA-APHIS	NNP
Report	NNP
covering	VBG
the	DT
period	NN
1	CD
Jan	NNP
to	TO
31	CD
Oct	NN
2001	CD
-LRB-	-LRB-
see	VB
:	:
West	NNP
Nile	NNP
virus	NN
surveillance	NN
-LRB-30-RRB-20011105	NN
.2745	CD
-RRB-	-RRB-
lists	NNS
344	CD
confirmed	VBD
and	CC
3	CD
probable	JJ
cases	NNS
of	IN
clinical	JJ
West	NNP
Nile	NNP
virus	NN
-LRB-	-LRB-
WNV	NN
-RRB-	-RRB-
infection	NN
in	IN
horses	NNS
from	IN
18	CD
States	NNPS
.	.
-	:
Mod.CP	NN
-RSB-	-RRB-
-LSB-	-LRB-
Note	VB
that	DT
posting	VBG
of	IN
this	DT
summary	NN
was	VBD
delayed	VBN
.	.
An	DT
additional	JJ
human	JJ
death	NN
and	CC
a	DT
horse	NN
death	NN
have	VBP
been	VBN
reported	VBN
in	IN
the	DT
interim	NN
-LRB-	-LRB-
see	VB
ProMED-mail	NNP
references	NNS
cited	VBD
above	IN
-RRB-	-RRB-
.	.
-	:
Mod.ES	NN
-RSB-	-RRB-
...	:
cp/es	NNS
--------------------------------------------------	CD
.	.
An	DT
outbreak	NN
of	IN
what	WP
is	VBZ
suspected	VBN
to	TO
be	VB
winter	NN
vomiting	VBG
disease	NN
forced	VBD
the	DT
closure	NN
of	IN
Sunnybrook	NNP
Hospital	NNP
's	POS
emergency	NN
department	NN
on	IN
Monday	NNP
morning	NN
.	.
Over	IN
the	DT
weekend	NN
,	,
a	DT
number	NN
of	IN
patients	NNS
and	CC
staff	NN
were	VBD
stricken	VBN
by	IN
bouts	NNS
of	IN
vomiting	VBG
and	CC
diarrhea	NN
.	.
By	IN
Monday	NNP
afternoon	NN
25	CD
Nov	NNP
2002	CD
,	,
28	CD
staff	NN
members	NNS
and	CC
13	CD
patients	NNS
showed	VBD
symptoms	NNS
of	IN
the	DT
virus	NN
infection	NN
,	,
which	WDT
is	VBZ
highly	RB
contagious	JJ
and	CC
spread	VBN
through	IN
person-to-person	JJ
contact	NN
.	.
``	``
We	PRP
have	VBP
n't	RB
determined	VBN
what	WP
the	DT
infection	NN
is	VBZ
yet	RB
.	.
We	PRP
suspect	VBP
it	PRP
to	TO
be	VB
a	DT
case	NN
of	IN
something	NN
called	VBN
winter	NN
vomiting	VBG
disease	NN
,	,
''	''
hospital	NN
spokesman	NN
Craig	NNP
DuHamel	NNP
said	VBD
.	.
``	``
Obviously	RB
we	PRP
have	VBP
to	TO
be	VB
very	RB
vigilant	JJ
to	TO
ensure	VB
this	DT
is	VBZ
contained	VBN
in	IN
our	PRP$
emergency	NN
department	NN
.	.
''	''
The	DT
emergency	NN
department	NN
was	VBD
expected	VBN
to	TO
be	VB
closed	VBN
until	IN
the	DT
afternoon	NN
of	IN
